,name,time,post,share,like,love,haha,sad,wow,angry,sentiment,Candidate
11,Ko,2018-06-02,"#一個政府應該要做的事情

去年，聯合醫院黃勝堅總院長帶我去看社區醫療，一位30歲就中風的男生，因為住在沒有電梯的老舊公寓，樓梯又很陡，就這樣，他一個人坐在輪椅上，在2樓10坪大的房間裡繞著繞著，繞了15年。

他整整被關在2樓15年，最大的心願，只是到樓下對面的公園去散步、去唱卡拉OK。

我當時只是碎碎念「怎麼會有人被關在2樓15年？」沒想到聯合醫院中興院區的幾位同仁自告奮勇，背著他下樓，推著輪椅帶他去公園透透氣，再把他推到里長辦公室唱「愛拼才會贏」的卡拉OK，這一幕看了，大家都很感動。

我們總以為先進醫療就是大醫院、精密的儀器、高貴的標靶藥物，但其實很多時候，醫療和長照還是需要走進社區，主動照顧這些行動有困難的患者與老人。

「石頭湯計畫」就是一個例子。如果要一個獨居老人自己去張羅各種長照服務，包括居家醫療、居家護理、居家藥師、居家復健、居家服務、社福申請等等，一個一個申請肯定會抓狂。但我們透過石頭湯計畫中的這些社工、護理背景的個案管理員，幫老人整合這些照護資源，協助到府服務，他們就可以安心在家養老。

這才是一個政府應該要做的事情。

#石頭湯計畫
#社區整合照顧服務
#進步價值光榮城市

---
石頭湯計畫（社區整合照顧服務）擴大實施，12行政區都有據點！
http://pcse.pw/7L4BK",1538,45993,1518,27,443,47,15,0.6956521739,柯文哲
12,Ko,2018-06-01,"從今天起，臺北市政府正式脫離千億債務俱樂部。

我剛上任時，接下了1468億元的債務，過了3年半還了差不多520億元，讓債務減至948億元，人均負債也從上任時的5.4萬，下降至3.5萬，如果今年還有歲入增加，大概可以還到540億元。

這是地方自治史上民選首長的最高還債紀錄，但其實我們只是每天認真工作，該做的做，不該做的不要做，到年底就會發現剩下很多錢。

就像追加預算，以前都沒在控管，現在通通要進市長室專案報告，後來幾乎沒什麼在追加。世大運開閉幕我們花3.6億，8年前同一個場地的聽奧花了5.4億，世大運的規模還是聽奧的好幾倍。

這幾年我們每天操、每天盯，消耗預算的毛病也少了。現在債務還了，效率提高了，我們也有更多的財力解決問題，像市場改建、公辦都更、東區門戶計畫等等，現在都有足夠的財力進行。

我們改變的現在，是下一代的未來。一個負責任的政府，不應該債留子孫，這就是4年下來臺北市政府所秉持的信念。

#嚴守財政紀律
#進步價值光榮城市",25349,351160,13294,1743,99,1012,57,0.5555555556,柯文哲
13,Ko,2018-05-29,"#創新是臺灣唯一的出路
　
臺北市政府的公務員，經過世大運、臺北燈節的磨練後，已經變成全臺灣戰鬥力最強的市政團隊。
　
公務員要創新，要先建立一個不怕失敗的環境，因為新藥上市前都要實驗了，更何況是創新的政策，所以在戰略上我們永遠往前跨一步。舉例來說，在長照上，我們不主張把老人送到大型安養機構，而是試辦「石頭湯計畫」，讓管理員把長照資源直接送到家中，老人就可以在自家養老。
　
一年多來，雖然試辦計畫還有一些要修正的地方，但大方向是對的，我們逐步建立SOP，未來就可以在各個鄰里複製這些成功經驗。
　
市政的創新，不只有長照。在教育上，我們在好幾所國中小試辦雙語教育和實驗教育；在都更方面，我們推動公辦都更，設立都更辦公室長期駐點，累積實務經驗；交通部分，我們讓無人小巴在信義路、士林科技園區上先跑跑看；最經典的例子，就是把燈節從花博園區搬到中華路上，為西區帶來更多商機。
　
這些都是市府公務員勇於創新、勇於改變的案例。
　
為了鼓勵公務員創新，以前一年發一次的獎金，現在多了每三個月用我的特支費發一次「即時獎勵金」，反正我應酬很少，一年省下一百萬元的特支費就拿來發給大家，避免拖久了無感。上個月，我們就把這個獎給了消防局，他們做的「視訊119」App，拍照後就可以線上報案，真的很方便。
　
雖然獎金分下去，大家吃一頓飯應該就沒了（搞不好局處首長還要幫忙貼錢），但這是我對優秀的公務員一份心意，感謝大家在這裡努力工作，為市民服務、替城市創新。
　
#進步價值光榮城市

---
馬上下載方便好用的「視訊119」App

Android版本：https://goo.gl/aYBD7R
iOS版本：https://goo.gl/JRR4XD",755,29999,793,52,4,84,12,0.8333333333,柯文哲
14,Ko,2018-05-28,"到年底，臺北市會有32處公宅同步在興建中。

這對都發局的同仁是很重的負擔，因為我們要讓公宅成為鄰里社區的好厝邊，所以公宅不只要蓋得漂亮、有設計感，還要把低樓層拿來作為社區的社福設施，包括公共托嬰、非營利幼兒園、老人日照中心，以及社區居民活動中心。

這樣一來，公宅蓋好了，鄰里與社區裡頭的社福設施也一次到位。

以前我們要尋找合適的社福空間都很困難，就連要運用閒置校舍也需要不斷的跟校方溝通。後來我發現求人不如求己，直接把新蓋的公宅低樓層拿來用，就可以解決很多問題。

這個計畫也考驗市府團隊水平整合的能力，以前各局處有分工不合作的問題，現在我們要求都發局在設計公宅、在蓋的時候，就必須與主管社福設施的社會局坐下來討論，預先保留這些托嬰、托幼、托老的空間。

健康公宅是我們把公宅與社福設施合併的第一個案例，希望透過這樣的模式，4到5年之內，我們就可以做好臺北市的社福基礎建設。

#健康公宅
#公共托嬰 #非營利幼兒園 #老人日照中心
#進步價值光榮城市",445,18084,477,45,0,36,8,0.6206896552,柯文哲
15,Ko,2018-05-27,"畢展初體驗，請大家多多支持這群厲害的大學生。

#勇敢的航向不可知的世界

---
華山新秀季 
Hashtag｜2018 台科北科雲科聯合設計展
登出台北 Undefined Senses 北藝大新媒系 第五屆畢業行動",320,17870,852,350,11,54,22,0.5,柯文哲
16,Ko,2018-05-26,"【為什麼我們要做沒有圍牆的「城市博物館」？】
　
過去幾十年，臺北市的發展重心在東區，所以我們做了以北門為中心的西區門戶計畫，讓舊城區有了全新的面貌。往北、往南，沿著淡水河與新店溪的河岸，我們則是設計五座「沒有圍牆」的「城市博物館」。
　
什麼是沒有圍牆的城市博物館？就是把具有歷史意義的建築與特色街區，作整體的重新規劃。博物館不是蓋個房子把所有的東西放進去，而是以社區的方式呈現歷史的面貌，這才是城市博物館的真正意義。
　
北投、大稻埕、城中、艋舺，到城南，這五座城市博物館，都呈現不同面貌的老臺北，每一座都有各自的「故事」。北投有溫泉與那卡西文化；大稻埕跟艋舺是臺北城的起源；城中則有赤峰街文創聚落與中山地下書街，「心中山」線型公園完工後，今年十月的白晝之夜，也會在這裡舉行。
　
而城南是這五大博物館中最具人文底蘊的一個，三月底我親自走了一趟，先到紀州庵泡茶，再去逛溫羅汀的舊書店，最後則是去寶藏巖光節、蟾蜍山微光展，感受老聚落的新生命。
　
這些地點都有各自的特色，串在一起，就變成城南地區不可或缺的藝術文化風景。未來每年四、五月的杜鵑花節，也會跟這些景點整合，成為當地最具特色的活動。
　
跟著影片的腳步，找個假日一起泡在城南，過個文青的一天。
　
#市政問答題
#城市博物館
#進步價值光榮城市",388,11944,342,14,1,50,19,0.5789473684,柯文哲
17,Ko,2018-05-25,"民無信不立，政府失去人民的信任，是臺灣政治的根本問題。

過去政府主導的重大BOT案，幾乎每一個案子都被懷疑，改善這個問題其實也不難，第一步就是公開透明。但公開透明不是只有在那邊呼呼口號，而是落實在實際的行政之中。

所以流標5次、還一度發生弊案的雙子星大樓開發案，這次重新上網招標的同時，我們不要只回答廠商的問題，也要聽聽所有人民的聲音。從現在開始，任何有關雙子星開發案的問題，都歡迎大家上網提問。

我們要打破過去只有投標廠商可以要求釋疑標案的規則，將這套制度落實在每一位公民，只要上網提問，捷運局會收集題目，在一個月期限內明確回答，讓所有國民都有提問、監督的權利。

我相信眾人的智慧大於個人的智慧，不是和你意見不同，就是要找你麻煩，因為面對問題是解決問題的第一步，把所有的小問題解決了，就沒有大問題。所以公民參與委員會這幾年下來，已經讓上百個公共工程都納入公民參與。這顯示只要不斷跟人民對話，務實的修正，很多問題是可以被解決的。

從現在開始到7月31日，雙子星（C1D1開發案）的問題歡迎你來提問，我們會好好回答，給大家一個滿意的答案。

提問連結：https://goo.gl/FXPGZt 

#公民參與
#西區門戶計畫
#進步價值光榮城市

---
雙子星開發案相關資訊公開：https://goo.gl/hmyf2X
北市府公共工程落實公民參與制度：https://goo.gl/tm51VC",538,23674,466,47,8,115,11,0.5277777778,柯文哲
18,Ko,2018-05-25,"布吉納法索與臺灣斷交的事情，事出突然。臺灣在國際上的處境一向都很艱難，所以必須自立自強，只有我們的經濟實力變得更強，才能在國際佔有一席之地，不能老是把國家的命運寄託在他國善意之上。

臺北作為臺灣的首都城市，應當盡力進行城市外交，突破困境。臺北市與布吉納法索首都瓦加杜古市，從2008年締結姐妹市以來，一直有一些交流和互動，去年世大運他們也有派代表團出賽，未來我們也會盡力維繫姐妹市關係，維持良善的互動。",414,26498,450,181,42,42,18,0.5,柯文哲
19,Ko,2018-05-23,"原本預估要花十年時間才能汰換掉的鉛水管，為什麼用不到兩年時間就可以達標？蘇迪勒颱風之後，我們做了什麼改進，讓未來颱風來臨時，水龍頭不再流出黃水？

不管你在上班，還是在偷看籃球賽，中午十二點半記得上來臉書一起吃便當，一起灑花生，一起聊市政。

#柯Ｐ便當會
#臺北喝好水",585,25494,1126,540,8,69,21,0.3333333333,柯文哲
20,Ko,2018-05-21,"【環南市場<U+30FB>改變成真】

短短一年半的時間，環南市場改建工程正式上梁了。

傳統市場改建，從來就不是政治人物的優先選項。第一，很少人有耐心和上千個攤商溝通，整合大家的意見；第二，花費的時間太長，即使開工，也很難在任內可以剪綵完工，所以改建興趣不大。

但市場是城市的縮影、人民生活的代表。老舊的傳統市場環境髒亂、老鼠橫行，不但無法吸引國際觀光客，連本地人也越來越不愛逛，改建絕對是勢在必行。

我有這個決心，所以每次都對市場自治會及攤商說：「如果沒有趁我這個『瘋瘋的』市長在任時，趕快進行改建，下一次的機會不知道要等到什麼時候。」

就像市場處主秘說，他進臺北市政府當科員承辦的第一份公文就是環南市場改建案，十八年後他升了主秘，總算才開工，難怪他會感慨萬千。

我們的傳統市場改建不只有硬體上的改良，軟體的升級才是重點，包括乾濕分離、垃圾不落地、減少塑膠包材，也要引進綠能環保、節能減碳。不可以改建之後，還是把菜跟垃圾一起放在地上，老鼠在旁邊跑，這樣的改建就失去意義。

明年八月，歡迎大家一起來逛逛全新面貌的環南市場。

#傳統市場改建
#環南市場 
#大龍市場 
#第一果菜及魚市場 
#成功市場 
#東門市場 
#南門市場  
#進步價值光榮城市",836,29775,874,50,8,166,10,0.3823529412,柯文哲
21,Ko,2018-05-19,"【為什麼我們要做公辦都更？】

都更過程的艱辛和公務員花費的心力，是外界想像不到的。

為什麼要「公辦」都更？就是當民間做不來的時候，政府應該扛起來做，這次的斯文里三期整宅都更，產權複雜，溝通協調不易；弱勢比例高，安置困難；又有航高限制，容積率有限；要期待民間來做根本不可能，但過去政府不想自找麻煩，一拖就幾十年了。

兩年半前，我們在斯文里成立駐點工作站，一切從零開始，超過一百場的說明會、公聽會、聽證會、審議會，不斷的跟住戶、周邊里民溝通協調，終於在昨天開工了，這是很多同仁努力而來的結果。

斯文里三期不只是全臺灣第一例成功的公辦都更，更是公辦都更制度化的開始，在跟居民的協調過程中累積了很多Knowhow、SOP，都會變成知識系統保留下來，未來面對再困難的都更案例，都有成功的前例可循。「最困難的都成功了，還有什麼不能做的」。

感謝每一位居民對都更案的支持，也希望大家能從影片中，看見基層公務員的熱情，他們是都市更新最重要的力量。

斯文里三期公辦都市更新
#市政問答題
#進步價值光榮城市",2149,32272,1108,45,17,190,25,0.6052631579,柯文哲
22,Ko,2018-05-18,"【斯文里都更<U+30FB>改變成真】

講了三十幾年，歷經四任市長，斯文里三期公辦都更今天終於開工。

這是台灣都市更新歷史的里程碑，也是公辦都更的一大步。

四年前，我剛投入選舉時來這裡看過，居民說，「每一個要選市長的都來這裡，每一個都說當選會改建，每一個都騙我們」。四年後的今天，北市府的公務員歷經千辛萬苦，跨局處合作，不斷的協調溝通，終於開工了。

依照我的規定，開工典禮結束24小時內必須開工，不准有假開工的文化。不過我們今天典禮還沒結束，他們已經迫不急待開拆了。

三十分鐘的開工典禮，背後是多少人過去三年的努力，我自己想到都覺得很激動。

一開始，很多人都勸我不要碰這個最困難的案子，但它是一個指標，如果最困難的斯文里三期可以成功，二期、一期、蘭州國宅、水源整宅、南機場整宅等老舊社區都可以複製這個成功的SOP，一步一步去做。

政治必須落實在人民每一天的生活之中，這是一種思想、信仰和力量。這個信念必須變成自己的信仰，才會變成力量，化成行動。我不認同「亮點政治」，如果只要「亮」，放煙火最亮。只有面對問題、解決問題，每天不斷努力工作，積小勝為大勝，才能為這座城市帶來真正的進步與光榮。

斯文里三期都更案，就是市府團隊從零開始，一點一滴努力的最好證明。

繼續前進。

#斯文里三期公辦都更
#進步價值光榮城市",2741,46482,1446,77,29,211,28,0.6388888889,柯文哲
23,Ko,2018-05-15,"五月，報稅季來了。

2014年時中央修改了房屋稅條例，3戶以內可以適用自住的房屋稅率，換句話說，超過3戶就課比較重的稅，但一個人有3棟房子都可以算自住，實在是沒有道理。

所以去年我們研議調降「單一且自住」房屋稅，只要自住且設籍臺北市，本人、配偶及未成年子女全國合計只有一棟房屋，就可以從原先自住房屋稅的1.2%調降為1.0%，讓真正把房子用來住的，可以用較低的稅率。

調降之後，自己住房子的人最多可以省3萬元，全臺北市大約有超過20萬戶房屋受惠。接下來我們要讓「單一且自住」的定義更清楚合理，讓真正住屋者可以用較低的稅率，但擁有較多戶房子的人，就必須負擔較高的稅率，往租稅公平的目標邁進。

#調降單一自住房屋稅
#市政老實說",359,12547,287,117,2,27,18,0.6428571429,柯文哲
24,Ko,2018-05-13,"臺北市有太多要解決的問題，所以母親節這個週末，很感謝三位副市長、秘書長、局處首長，犧牲與家人團聚的時間，到市政府陪我吃便當、開會、面對問題、解決問題。

跟他們的太太、媽媽們說聲歹勢，也祝全天下辛苦的母親們，母親節快樂。",99,13934,309,102,18,53,16,0.5625,柯文哲
25,Ko,2018-05-12,"收到一個好消息，臺北市政府跟國家地理合作拍攝的紀錄片《透視內幕：臺北世大運》，榮獲第51屆休士頓國際影展最佳紀錄片金獎，讓臺北世大運，這個2017年夏天的臺灣奇蹟，再度在國際發光發熱。

世大運不是臺北的世大運，而是全臺灣的世大運，雖然經歷各種挫折，一路被看衰，但場上拚戰的運動員、堅守崗位的公務員、一萬八千名無私付出的志工，都展現無比堅韌的臺灣精神，共同創造了這個臺灣奇蹟。

謝謝大家，謝謝拍攝團隊，讓世界再一次看見臺灣。

---
今晚八點，國家地理頻道將加映《透視內幕：臺北世大運》，讓我們再一次重溫去年八月的感動。
https://youtu.be/eQFL5DZrZ7s",707,34701,1123,135,3,66,7,0.7692307692,柯文哲
26,Ko,2018-05-11,"現在雙薪家庭很普遍，大家每天上班工作，下班做家事、顧小孩。偶爾臨時有事，但小孩沒人照顧，這時候就需要臨時托育服務，讓年輕的爸媽可以安心外出。

現在起，我們開始在文山區試辦定點臨托服務。六個月以上、六歲以下的小孩臨時需要有人幫忙照顧，打一通電話，就可以預約托育。

未來我們也會開一個公共托育的官網，網站設好之後，裡面會有一個臨時托育的登錄連結，到時用網站也可以預約。

我的想法是政策正式上路前先實驗看看，跑順了之後再擴大辦理，所以初期我們會先挑幾個點來試辦，看成效如何、有什麼需要修正的，再來擴大辦理定點臨托。

不管是婦女中心、親子館、公共托嬰，到新增的定點臨時托育服務，臺北市的婦幼福利不斷在進步，雖然無法一次到位，但我們會不斷努力，用更完善的政策幫忙年輕父母。

#臨時托育
#進步價值光榮城市

---
臨時托育管道看這邊
http://pcse.pw/5ZQRD",1383,27212,830,40,6,278,20,0.6153846154,柯文哲
27,Ko,2018-05-09,"以前的圓山兒童樂園所在的「圓山遺址」，是國定古蹟，也是臺灣最早發現的史前遺跡之一。這裡有史前時代貝塚，是臺灣新石器時代文化重要的遺產。

這塊充滿史前文物的山丘，日治時期被當成禪寺，後來動物園、兒童樂園、花博園區相繼設立，這些建設都為圓山遺址的保存造成壓力。

兒童樂園搬離之後，市府接受專業意見保存圓山遺址，避免商業化的建設。同時，封閉已久的區塊，我們會在最低擾動的原則下整理環境，重新開放綠地給台北市民，也讓市民認識臺北城的地下文化風景。

為了讓圓山考古遺址公園可以早日實現，我們期盼主管機關文化部依據文資法，擬定「國定圓山考古遺址保存計畫」，我們會依保存計畫進行後續的規劃，希望中央地方可以一起合作，讓臺北市成為一座擁抱過去、立足此刻、追求未來的首都城市。",232,15146,358,23,8,140,24,0.8095238095,柯文哲
28,Ko,2018-05-08,"今天中午跟我一起吃便當的是都發局林洲民局長，一起來聊聊斯文里三期開工、公共住宅、公辦都更等議題。
　
他講話很仔細，希望短短的半個小時我們可以講得完。
　
#柯Ｐ便當會
#居住正義大解密
台北都發局長林洲民「像我們這樣的城市」",305,12369,651,492,13,29,45,1,柯文哲
29,Ko,2018-05-06,"【為什麼我們要推動八橫八縱幹線公車？】
　
臺北市正在進行中的捷運路線，環狀線的中環段預計年底完工，萬大線跟信義線東延段已經開始蓋了，環狀線的北環段跟南環段正在中央審議，東側南北向捷運系統（東環段）則是進行可行性評估中。
　
扣除環狀線中環段，新的捷運要上線至少還要6年的時間，這段期間還是要加強公共運輸服務，所以我們在主要幹道上建立了幹線公車系統，在忠孝東路上移動，就搭忠孝幹線，直接明瞭。
　
八橫八縱就是一個「類捷運」的概念，班次非常密集，尖峰時刻最快4分鐘一班，不用擔心在戶外等太久，而且還享有跟捷運一樣的轉乘優惠，轉公車、轉捷運通通半價。
　
捷運和幹線公車是我們交通路網的基礎，我們會在這個基礎上調整公車路網，發展出小規模、效率高的接駁公車。以前這些接駁公車因為路程短，還要多花一段票，所以沒有人要搭，吃到飽定期票上路後，短程的接駁公車就比較容易被大家接受，這是我們的交通大戰略。
　
去年5條幹線公車先行，乘車人數逐漸增加，現在我們再增加11線，讓八橫八縱正式上路，相信大家使用的意願會更高。只有加強公共運輸服務，讓大家願意「從開車變搭車」，臺北市的交通問題才有機會被解決。
　
#市政問答題
#八橫八縱幹線公車
#進步價值光榮城市",350,10825,274,58,0,27,17,0.7692307692,柯文哲
30,Ko,2018-05-04,"這是一篇洋蔥文。

來自屏東的莊瑞雄委員告訴我，今年屏東恆春的洋蔥產量過剩，導致價格崩跌，讓當地農民唉唉叫。

我平時公關費不多，還有剩一些，就跟屏東產地直接買了500袋洋蔥，今天請社會局幫忙分給臺北市的社區關懷據點、老人日照中心、浩然敬老院、陽明教養院、遊民收容中心、老人自費安養中心等社福機構，也算是幫他們加菜。

我能幫多少算多少，希望大家多多支持臺灣的農民，也給予這些社福機構多一點溫暖。",1027,59990,2809,1261,51,171,19,0.8888888889,柯文哲
