"","X","V1","V2","bindtext"
"11","t_title10","競選總幹事找不到人？柯文哲笑：回去努力找","2018-05-26 11:21"," 對於國民黨市長參選人要找立委蔣萬安擔任競選總幹事，是否為擔心吸走年輕選票？柯文哲表示「不曉得」，但每個人一定會尋求對自已最有利的方式做。記者追問，是否會擔心找不到適合的總幹事？柯笑回，這樣他回去要開始認真找。 柯文哲表示，競選連任的人把市政做好就好，也不用去做什麼廣告，都做4年了，人家還不曉得嗎？至於是否會和參選新竹縣長的徐欣瑩與彰化縣長的黃文玲合作，柯文哲表示，這些人是朋友，政治上合作是另外的事。 被問及姚文智與呂秀蓮今天將舉行政見說明會的看法，柯文哲表示，他對此沒有評論，每個人按照自己喜歡的方式去努力就好。台北市長柯文哲出席活動與民眾合影。記者莊琇閔/攝影分享  facebook   "
"12","t_title11","柯文哲臉書貼文 雙子星案邀民眾提問監督","2018-05-25 15:34"," 台北市長柯文哲。圖／取自柯文哲臉書分享  facebook   台北市長柯文哲今天在臉書貼文指出，流標5次、一度發生弊案的雙子星大樓開發案，這次重新上網招標；即日起，任何有關雙子星開發案的問題，都歡迎大家上網提問、進行監督。 台北車站特定專用區C1/D1（東半街廓）土地開發案又被稱為「雙子星開發案」。 柯文哲貼文表示，民無信不立，政府失去人民的信任，是台灣政治的根本問題。過去政府主導的重大BOT案，幾乎每個案子都被懷疑；改善這個問題也不難，第一步就是公開透明，但公開透明不是只有在那邊呼呼口號，而是落實在實際行政之中。 柯文哲說，市府要打破過去只有投標廠商可以要求釋疑標案的規則，將這套制度落實在每位公民上。民眾只要上網提問，捷運工程局會收集題目，一個月內明確回答，讓所有國民都有提問、監督的權利。 他表示：「我相信眾人的智慧大於個人的智慧，不是和你意見不同，就是要找你麻煩。」因此，台北市政府公民參與委員會幾年下來，已經將公民參與納入上百個公共工程；這顯示只要不斷與人民對話，務實地修正，很多問題可以被解決。 柯文哲說，即日起到7月31日，雙子星案的問題歡迎民眾提問，市府會好好回答，給大家滿意的答案。 捷運局指出，雙子星案3月31日上網公告徵求投資人，將於10月1日截標，並採資格標、規格標、價格標3階段評選；預計明年一月選出最優申請人，明年3月底與最優申請人完成投資契約簽訂。 民眾可上「公共政策網路參與平台」https://goo.gl/FXPGZt，對雙子星案表達意見。   "
"13","t_title12","3年5500件投訴 柯文哲路平政見被批破功","2018-05-24 23:23"," 台北市議員王鴻薇昨在總質詢指出，市長柯文哲主政至今，民眾向1999與市政信箱投訴路不平、有坑突的件數，3年破5500件。 記者翁浩然／攝影分享  facebook    台北市長柯文哲上任前曾誓言要解決路不平問題，還批前任路平沒成效，但市議員王鴻薇昨在議會總質詢時指出，柯市府道路銑鋪、維護經費年年增加，品質卻沒明顯改善，民眾向1999與市政信箱投訴路不平、有坑突的件數，3年破了5500件，路平政見早已破功。柯文哲則回應，成立道管中心，整體挖路次數還是有下降。 柯文哲曾抨擊前市長郝龍斌執行路平專案6年，北市道路仍凹凸不平，王鴻薇昨天特別播放街訪影片，片中民眾批評不平、最爛的路有承德路、南京東路、市民大道、南海路、八德路、民族西路等主要道路，承德路還被點名3次。 王鴻薇說，柯當年是「政治素人」，批評人家很容易，但上任後，民眾卻沒感受到路平成效。另外，柯主政以來共編列近50億元維護道路品質，道路銑鋪、維護年度預算從2015年的8.28億元逐年上升，2016年至今年度預算為10.16億到13.54億元不等。 不過，研考會資料與民調，市民對道路品質滿意度只有4成滿意，不滿意主原因包含路面不平整、坑洞太多、施工挖路太過頻繁、人孔蓋太多等。而民眾投訴1999與市政信箱，抱怨道路品質差的件數，單是路不平，近3年就從2015年的673件成長到1561件，累積3134件；抱怨有坑洞件數也從2015年的426件增加到1326件，累積也有2373件。 柯文哲則表示，成立道管中心後，整體挖路次數還是有下降，品質也有提升，雖然還是有不平的路段，但比以前好很多，「我們還有得獎耶」；但他也同意仍有路不平的情況，今年將持續追蹤、改善。 "
"14","t_title13","哪個白癡制定白癡政策要收回？ 柯文哲：不覺得不對","2018-05-24 15:17"," 台北市長柯文哲近期多次炮轟中央，民進黨籍北市議員何志偉今於議會總質詢時，特別詢問柯文哲是否收回先前批評高雄財政問題、談中央拔管案是白癡政策等言論，盼確認柯的想法。柯文哲則回應，很難收回，他對這些議題也確實仍存有疑慮，不覺得不對。 去年柯文哲陸續批評中央政策，其中談前瞻建設時還點名高雄市債務增加，酸高雄舉債2600億元、很多縣市財政都邁向「苗栗化」；另外，柯談論教育部針對國立台灣大學的拔管案時，還稱實在是很不願意批評民進黨，但最後脫口說出拔管嚴重侵犯大學自主，「不知道哪個白癡制定了這個白癡政策，我覺得要檢討一下。」何志偉針對柯頻頻嗆中央與綠營，今天也特別詢問柯是否收回這些批評。 柯文哲表示，有些話其實不是在公開場合說的，都是私下聊天而來，這些話已經說出，被外界錄影音儲存，現在每一家電視台也都檔案，「怎麼收回？」 何志偉強調，他問的不是這些話能否收回，而是柯文哲「想不想」、要不要收回；若他有辦法協助收回，即便成本很高，柯文哲是否願意收回這些批評。 柯文哲則說，台灣各縣市負債累累，預算很多都要用來還債也是事實；而台大現在沒有校長，這些他仍存有疑慮，也不覺得批評的內容有不對。台北市長柯文哲近期多次炮轟中央，民進黨籍北市議員何志偉今於議會總質詢時，特別詢問柯文哲是否收回先前批評的言論。記者翁浩然／攝影分享  facebook   "
"15","t_title14","拚北市長 蘇煥智：民進黨派誰都很難贏","2018-05-23 23:30"," 民進黨選對會昨天邀集有意參選台北市長的立委姚文智（右）、前副總統呂秀蓮（左）協調，將在周六舉行政見發表會後，再決定人選。 記者曾吉松／攝影分享  facebook    民進黨選舉對策委員會昨天邀前副總統呂秀蓮、立委姚文智進行協調，兩人展現參選台北市長的企圖心後，將於本周六舉行電視政見發表會，選對會預計在下周一綜合評估結果，提出單一適當人選代表民進黨參選。 呂秀蓮表示，選對會終於走出務實第一步；姚文智也認為，雙方應說明理念，讓市民了解；不過，已退黨參選的前立委蘇煥智則說，民進黨派出誰，都很難贏得選戰。 選對會發言人鄭運鵬表示，昨天上午，選對會與姚文智、呂秀蓮在黨中央進行協調，兩人均表達承擔台北市長選舉的意願。 鄭運鵬說，最後達成共識，本周六舉行電視政見發表會，再依據提名條例，選對會針對選戰策略綜合評估，在下周一召開會議，將評估結果向黨主席提出單一適當人選的建議，再由黨主席提名，經中執會通過。 鄭運鵬指出，提名條例並沒有相關規定，不過，內部參考民調會在政見會後執行。換言之，民調勝出者，將是提名重要參考依據。 對於政見發表會，姚文智說，雙方應說明市政理念，讓市民了解，畢竟，這段期間相關討論不足。呂秀蓮表示，在此之前，紛紛擾擾都只談人選，但是市政討論很重要。 至於周六是否只有兩人參加政見發表會，不會再有第三人；呂秀蓮指出，這部分要問選對會，不過，到目前為止，當然就只有兩人。 蘇煥智昨天接受媒體訪問說，民進黨執政兩年，陷入結構困局，他判斷民進黨提名姚文智的機會比較大，但也可能提名姚文智後，再和現任台北市長柯文哲一較高下，這些還要再觀察。 蘇煥智說，民進黨在戰略上的提名，不算成功，不論是行政院長賴清德、總統府秘書長陳菊來參選，要當選都有困難，最關鍵原因是執政兩年的成績不佳。 "
"16","t_title15","駁斥挺柯P理由 邱毅：白色非無色別妄想指鹿為馬","2018-05-23 08:04"," 前立法委員邱毅。圖／報系資料照分享  facebook     前立委邱毅在臉書上表示，近來有些人積極在為柯文哲造勢，他們提出了不少冠冕堂皇理由，比較具代表性的有三種： 1、柯文哲代表白色力量，要超越藍綠，擺脫藍綠惡鬥，要靠柯文哲。 2、柯文哲原是墨綠，能講出「兩岸一家親」，已經是難能可貴的改變，應該鼓勵。 3、支持柯文哲，也是對國民黨施壓的方式，可逼迫國民黨表達更明確的立場。 他說，這些論點不僅在台灣迷惑了一些選民，據<U+8AAC>還影響了大陸，竟把柯文哲視為「由獨轉統」的標竿，這種想法還成功滲透進入官媒。他不能確定那些人在為柯文哲進行政治操作，但他很訝異竟有人愚蠢的接受這種謬<U+8AAC>，還表示對柯文哲寄以厚望深切期待。 邱毅表示，首先，白色並非無色，人有主觀意識七情六欲，就不可能無色，無色或白色只是政治圖謀的另種出路而已。其次，柯文哲始終就是墨綠，他從未改變過台獨立場，只是他臉皮厚，或者夠厚黑，敢於為現實需要而騙，他的兩岸一家親不就如此嗎？ 他表示，最後，利用柯文哲施壓國民黨，更是飲酖止渴的愚蠢想法，而柯文哲也不可能有更明確的促統言行，因為狡猾如斯的政客，勢必了解促統仍對選舉不利。 邱毅指出，捧柯的人其實也只是各取所需而已，有人為了政治目的，有人為了商業利益，有人為了討好大陸。他認為，政治還是少點權謀詐術比較好。在網路世代，人民沒那麼笨，更沒那麼好騙，是驢是馬，拉出來遛遛就很清楚，更別<U+8AAC>妄想指鹿為馬了。"
"17","t_title16","將循柯P模式參選台南市長 許忠信：周六宣布決定","2018-05-22 10:38"," 成大教授許忠信（左二）在廟會活動逐桌致意 圖／聯合報系資料照分享  facebook   台南市長選情逐漸白熱化，前台聯立委、成大教授許忠信自2016年總統大選後就積極深耕地方，目前無黨籍的他，將循「柯文哲模式」角逐台南市長選舉。目前台南也與北市一樣處於三腳嘟的狀況，許忠信也將在周六（26日）在台南舉行記者會宣布最後決定。 許忠信說，早在扁政府時期，陳水扁執政有很多的部屬都是台南人，如今有些人退休回鄉養老，但卻對台南的沒落感到憂心。他說，台南在六都中都被台中和桃園超越，新竹身為非六都城市也都快比過台南，不僅工作機會少，人民所得普遍也低。 許忠信表示，據調查台南人平均可支配所得為2.39萬，不但是六都吊車尾，全台排名中澎湖、苗栗名次都排在台南之前，已落到第14名，主要因人口流失、出生率低、經濟衰落，導致台南越來越沒落。 許忠信說，民進黨自初選結果出爐後，自己在地方的聲勢也逐漸上漲，黃偉哲確定由民進黨提名後，台南許多基層民眾拱他出來競選的人越來越多。他認為，原因出在台南許多深綠選民在不看好提名候選人的狀況下，又不想要投給國民黨，所以支持他的人才越來越多。 許忠信表示，自己的專業在財經、法律和外文，過去由於有立委經驗，又擔任教授，很多支持他的民眾與他想法理念一致，對於地方民眾的支持有五成以上都是無黨籍。 許忠信認為，台南的選情跟台北市一樣激烈，形容自己是一個新的產品，與國民黨和民進黨所提名的參選人不同，他沒有黨的資源與協助，靠的是專業的能力和政見說服選民。他說，自己參選意願是高的，只是還在尋求一些地方士紳的意見和看法，將在周六於台南、周日於台北宣布最後決定結果。"
"18","t_title17","吳音寧買菜惹議 立委籲農委會釋出北農股份","2018-05-21 13:09"," 北農總經理吳音寧購買農產品殘貨分送社福團體惹議，民進黨立委鄭運鵬今天建議，農委會應捐贈北農股份給台北市府，從球員身分轉為裁判，否則吳音寧管理北農會有相當大的包袱。 立法院經濟委員會今天請行政院農業委員會主委林聰賢，就農村再生基金對農村及原住民部落的發展，及成果進行專案報告並備質詢。鄭運鵬在質詢時針對吳音寧買菜一事指出，他這個會期一開始就建議農委會捐贈北農股份，從球員身分轉為裁判。 鄭運鵬認為，全台44個農產運銷公司，農委會僅在北農有股份，設有2常3董，以吳音寧現在狀況，農委會對於吳音寧管理有相當大的包袱，農委會是否有考慮要把23%股份全數捐給台北市政府，讓台北市長柯文哲完全執政、完全負責。 林聰賢回應，股份贈與應回歸中央部會相關規定，農委會參與台北市農產公司的股權歷史其來有自，過去沿革背景已慢慢消失，農委會股權可怎樣稀釋，政策方向同意這樣的做法。 鄭運鵬表示，希望農委會慎重思考將股份捐給北市府，也建議北農能公開歷屆總經理的業務推廣費用途，讓大家公平判斷業務推廣費如何運用更好。"
"19","t_title18","有五個理由 孫大千：台北市長選舉綠營注定第三名","2018-05-20 18:20"," 前立委孫大千。聯合報系資料照分享  facebook   年底台北市長選舉，民進黨和台北市長柯文哲合作破局，不過如今傳出柯文哲曾傳訊息像綠營求和，還自稱是「蔡英文的暗樁」，引發熱議。對此，前立委孫大千則是在臉書上諷刺，民進黨自提人選，「蔡英文的暗樁」和「蔡英文提名的候選人」將要在台北市要一決高下了。 孫大千強調，台北市長選舉，不論民進黨最終推出什麼樣的人選，除非出現無法想像的重大變數，否則註定排名第三名。 孫大千解釋，第一、柯文哲和民進黨長期以來，在台北市形成「政治連體嬰」的共治結構，一時三刻要完全清除切割，根本是件不可能的事情。基層組織、樁腳、系統和政治人物恐怕也難以涇渭分明，堅壁清野。 第二，柯文哲在選舉過程中，必然會採取緊貼蔡英文的策略，創造與泛綠勢力之間模糊的曖昧關係，瓜分部分民進黨支持者的選票。外傳他曾傳訊息給親綠人士表示，「我是蔡英文的暗樁」，就是最好的例子。 第三，柯擁有現任優勢，掌握龐大的行政資源。就算是無法順利連任，也斷然不至於跌到第三名。 第四、民進黨執政兩年以來，民怨沸騰，績效不彰，背負著沈重包袱的候選人，何德何能可以在民進黨原本已經是相對弱勢的台北市逆勢崛起呢。 孫大千最後還說，被點名參選的民進黨內的諸天王、眾神、和眾媽們之所以紛紛表態另有生涯規劃，或是身負重任，難以離職，不就是對選舉結果心知肚明，所以不願意敬陪末座，出來丟人現眼嗎。    "
"20","t_title19","「邱Ｐ」邱文祥辦反毒音樂會 競選歌曲曝光","2018-05-19 17:58","   年底台北市長選戰升溫，以無黨籍身分參選的台北市前副市長邱文祥，下午舉辦反毒音樂會，突顯台北市忽視毒品氾濫。邱文祥也公布自己作詞的競選歌曲「祥鷹展翅」。 邱文祥指出，新興毒品入侵台灣，導致青少年致死激增，根據法務部最新統計，施用毒品平均致死年齡下降為28歲，台北市近十年吸毒案攀升，市長柯文哲卻無力回天，令他失望。 邱文祥說，這幾年不僅使用毒品人口往上升，必須面對，但現在新興毒品樣貌多變，一個好的市長，應該要做預防，但柯文哲卻沒有做什麼。 談到選舉，民進黨徵召誰參選還未知，媒體問如果是邱文祥、柯文哲、賴情德三醫生一起選，他要如何打選戰；邱文祥說，這次台北市長選舉是最詭譎難判斷的一次，五月底民進黨的人選就會揭曉。如果是賴清德，他當年在台南奇美醫院時，賴在成大，柯文哲則是他他同學，對決方式因應是在市政討論上，對市民才有幫助，不要再有口水和政黨對決，回歸市政才是真諦。 台北市長參選人邱文祥，演唱自己作詞的競選歌曲「祥鷹展翅」。記者楊正海／攝影分享  facebook   "
