"","V1","V2","V3","Yao_MarAprlink$."
"t_time58","2018-04-21 15:11","大巨蛋先完工 鍾小平：讓趙藤雄看得到吃不到"," 國民黨台北市長黨內初選，今天進行孫大千、鍾小平、丁守中、張顯耀等4擬參選人自辦電視辯論會。提問人之一音樂製作人許常德提出如何解決松山機場和大巨蛋。鍾小平認為應該先完工，把使用執照掌握住，和趙談判，讓趙藤雄看得到大巨蛋吃不到，重<U+5553>談判。  張顯耀說，台北市長要做的三個字，就是做決定，大巨蛋全面停工後，成了廢墟新地標，他當選後，三個月內檢視合約，找專家學者共商，再向市議會專案報告，決定全拆或續建。另外，松山機場部分，遷走後將打造台北曼哈頓特區外，其他都做中央公園，給市民活動的空間。 丁守中則說，大巨蛋解約要賠350億，誰賠？因此應該先完工，利用使用執照，限制容留人數，至於松機，2025年第三航廈才完成，現在搬不行，但可以提早規畫。 孫大千認為大巨蛋不難解決，只是現在變成私人恩怨，因此應該依照合約，該建就建，該解約就解，但未來大巨蛋一定要能打棒球，遷松機部分，他持持保留，桃園航廈完成在2025年，超過市長的任期，他無法做政策規畫，現在說不負責，且台北要有首都機場。鍾小平辯論會時說，大巨蛋先完工，但讓趙藤雄看得到吃不到。記者楊正海／攝影分享  facebook   ","https://udn.com/news/story/10958/3099582"
"t_time59","2018-04-21 14:23","台北市若贏不了 鍾小平：侯友宜贏了又怎樣"," 國民黨台北市長黨內初選，今天進行孫大千、鍾小平、丁守中、張顯耀等4擬參選人自辦電視辯論會，鍾小平炮火四射，除了批柯文哲，也強調希望年輕民眾給他一個機會，否則「台北市丟掉、侯友宜當選又怎樣」。  孫大千說，他參選的動力是改變國民黨，關鍵是與年輕人對話，所以他的選戰定位在數位平台，改造台北市，讓台北市有新定位，建立品牌，讓天龍國從嘲諷變肯定。  孫大千說，他認同柯文哲的說法，選舉經費太高，政治敗壞，他提出「十五不」，降低競選開銷，希望他的參與 對台北市的改革，種下希望種子。  張顯耀也批柯，要終結柯無厘頭施政方式，創造台北市經濟，找回信心和希望，他呼籲柯文哲，施政不要只會抓頭，而是抓重點、抓政策、抓人才 。國民黨台北市長黨內初選，今天進行孫大千、鍾小平、丁守中、張顯耀等4擬參選人自辦電視辯論會。記者楊正海/攝影分享  facebook   ","https://udn.com/news/story/10958/3099525"
"t_time60","2018-04-21 14:23","丁守中批柯P：「嗡嗡嗡」是大頭蒼蠅"," 國民黨台北市長初選電視辯論會今天下午2時正式開始，依照抽籤結果，申論發言順序為丁守中、孫大千、鍾小平、張顯耀；丁守中在申論時表示，現任台北市長柯文哲完全沒有執政、領導能力，24個局處首長因了解柯，認為柯不是好市長而離去，不該再讓柯連任。 丁守中說，會「嗡嗡嗡」的不只蜜蜂，還有「大頭蒼蠅」，五星級旅館六福皇宮熄燈代表台北市沒落；台北競爭力已大幅輸給香港、新加坡、上海、廣州，連大陸的二線城市都超過台北。 丁守中還說，柯文哲完全沒有執政能力與領導能力，一個任期未到，就有24個局處首長離開，這些最親近柯的人，都了解到柯不是好市長才離開，因此不該讓柯再任市長4年，要讓柯下台。丁守中在申論時表示，現任台北市長柯文哲完全沒有執政、領導能力。記者翁浩然／攝影分享  facebook   ","https://udn.com/news/story/10958/3099524"
"t_time61","2018-04-21 14:13","藍北市長初選辯論 鍾小平批其他3人不夠格","  國民黨台北市長初選辯論會今天下午1時30分在中天電視台舉辦，參選人丁守中、張顯耀、鍾小平、孫大千依序抵達，4人穿著也有些許出入，丁、孫衣著正式，都穿西裝打領帶，張與鍾則沒有領帶，另外，鍾還因為聽說攝影棚背板是黑色的，特別穿灰色西裝；張則有妻子陪同；4人也陸續接受媒體訪問。 最先抵達的丁守中表示，國民黨應該要團結，一起爭取台北市長勝選；今天他的重點會放在城市願景，因為柯文哲施政太糟糕，耽誤台北3年，「這樣的市長一定要讓他下台」。 張顯耀說，應該透過辯論比賽反映出參選人特質，黨內初選辦電視辯論會要熱熱鬧鬧，讓外界大眾都知道國民黨在辦初選；國民黨在野太久了，要用辯論「把國民黨的氣勢帶出來」。 鍾小平說，今天重點放在搶救中華民國與台北，因為柯文哲倒行逆施（逆行倒施）快讓城市滅絕了；另外，他深根北市奮戰3年，黨內其他3名參選人「都不在」，張應該留高雄對陳其邁、孫大千應留在桃園對鄭文燦、丁連吳思瑤都選不過，怎麼選得過柯文哲？ 最後到場的孫大千表示，希望透過辯論讓全國看到國民黨的改變，讓選民在2018大選中願意再給國民黨一次機會；針對鍾的「建議」，他先「謝謝小平哥」，但這場選舉每個參選同志都有自己的理想目標，他也祝福所有人能心想事成。國民黨台北市長初選辯論會今天下午1時30分舉辦電視辯論會，參選人丁守中辯論前接受媒體訪問。記者翁浩然／攝影分享  facebook   國民黨台北市長初選辯論會今天下午1時30分舉辦電視辯論會，參選人張顯耀辯論前接受媒體訪問，張的妻子也陪在一旁。記者翁浩然／攝影分享  facebook   國民黨台北市長初選辯論會今天下午1時30分舉辦電視辯論會，參選人鍾小平辯論前接受媒體訪問。記者翁浩然／攝影分享  facebook   國民黨台北市長初選辯論會今天下午1時30分舉辦電視辯論會，參選人孫大千辯論前接受媒體訪問。記者翁浩然／攝影分享  facebook   ","https://udn.com/news/story/10958/3099507"
"t_time62","2018-04-21 14:10","107年國民黨台北市長初選辯論會","  107年國民黨台北市長初選今天舉行電視辯論會。 國民黨台北市長黨內初選，丁守中（左起）、孫大千、鍾小平、張顯耀等4位擬參選人，自辦電視辯論會。國民黨台北市長黨內初選，丁守中（左起）、孫大千、鍾小平、張顯耀等4位擬參選人，自辦電視辯論會。記者林俊良／攝影分享  facebook   國民黨台北市長黨內初選，丁守中（左起）、孫大千、鍾小平、張顯耀等4位擬參選人，自辦電視辯論會。記者林俊良／攝影分享  facebook   國民黨台北市長黨內初選，丁守中（左起）、孫大千、鍾小平、張顯耀等4位擬參選人，自辦電視辯論會。記者林俊良／攝影分享  facebook   ","https://udn.com/news/story/10958/3099499"
"t_time63","2018-04-21 13:42","藍初選辯論先轟民進黨 孫大千：有勇氣就快提人選"," 國民黨台北市長黨內初選，今天進行孫大千、鍾小平、丁守中、張顯耀等4擬參選人自辦電視辯論會，辯論前孫大千先轟民進黨不提人選，卻藉著國民黨黨內提名程序時間來拖延，民進黨若有勇氣就儘快提自己的人選。  孫大千說，民進黨這段時間對提名人選的說詞都是藉口，說要等國民黨的人選確定，其實一個有骨氣、有志氣、有勇氣的政黨，應該勇敢提出自己人選，不應藉由國民黨黨內初選程序，拖延自己的提名人選。 孫大千還說，如果民進黨有優秀的人選，早就提出來了，但他還是祝福民進黨，儘快找出人選出來。 國民黨台北市長黨內初選，今天進行孫大千、鍾小平、丁守中、張顯耀等4擬參選人自辦辯論會。記者楊正海/攝影分享  facebook   ","https://udn.com/news/story/10958/3099459"
"t_time64","2018-04-20 23:33","國民黨北市長初選 4人今自辦辯論"," 國民黨台北市長初選，孫大千、鍾小平、丁守中、張顯耀等4位擬參選人協調後同意舉行2場自辦辯論會，首場今天登場，並在中天新聞52頻道、中視及中視新聞頻道直播，全程約2小時。宣布參選高雄市長的韓國瑜，也是提問人之一。 由於國民黨黨中央定調不舉辦辯論，台北市黨部上周協調黨內4位市長擬參選人電視辯論，首場今天下午2時至4時舉行，第二場在4月28日下午2時至4時，由TVBS電視台舉辦。 北市黨部指出，依黨中央規定，市黨部不得辦理電視辯論會，所以由擬參選人自行協調辦理，市黨部則從旁協助。 今天辯論會由王又正擔綱主持，辯論會分為5階段，包括「申論」、「提問人提問」、「主持人提問」、「交互詰問」及「結論」。 提問人選由4位參選人各推薦1人，丁守中推薦資深媒體人陳鳳馨、孫大千推薦音樂製作人許常德、張顯耀推薦中國時報社長王丰、鍾小平推薦韓國瑜，主辦單位則邀藝人利菁擔任提問人。 辯論會前夕，行政院前院長張善政接受鍾小平邀請，昨參加「從國際間．看台北城市競爭力」座談會，但張善政說，他來參加不涉及選舉，只是對台北競爭力有想法，就事論事。至於以後是否有參選人邀請，就會輔選？張說，看人吧，人品要好、正直，但參加座談與選舉無關，只是分享理念。 ","https://udn.com/news/story/10958/3098751"
"t_time65","2018-04-19 19:22","大陸軍演兩岸緊張 丁守中：更應辦雙城論壇","  大陸高調軍演，兩岸關係陷緊張，台北市長擬參選人丁守中今接受飛碟電台專訪時指出，今年雙城論壇應該按時程舉辦，不應延期，兩岸愈緊張，民間就要愈多交流。 丁守中說，雙城論壇不只台北上海辦雙城論壇，若他當選台北市長，將和北京、深圳、杭州辦雙城論壇，只要有助於壯大台商力量的城市，都要辦雙城論壇。同時也和國際城市交流，才能提升台北市的競爭力。 國民黨台北市長初選進行中，「卡丁」聲不斷，認為丁守中不夠強，代表國民黨選不會贏；對此，丁守中認為，等初選結束，這些就會告一段落，畢竟初選會有競爭，他承認自己不是明星，沒有光環，但他在立法院問政，沒有輸過誰，而且過去有人有明星光環，選上後對城市實質進展不大，像台北市長柯文哲是網紅，聲量最大，但城市評比黯淡。 至於「卡丁」背後是否有特定力量在運作，丁說， 台北這場仗很艱困，團結都不一定打贏，何況不團結，他相信選舉會有競爭，誰幫誰難免會放話，但比起民進黨還互告，已經好多了。 過去台北市長選舉是指標，候選人必須要有光環，要有外溢效果，除了自己勝選，還有讓選舉升溫，主持人問丁能否做到，丁守中說，過去期待選舉是母<U+9DC4>帶小雞，有光環、有明星，但真正選舉還是要靠自己，且國民黨現在沒有資源，市議員、市長等各地參選人，每人都要做「戰鬥<U+9DC4>」，只有靠團隊合作，否則國民黨非執政，在中央地方都沒有資源，每人都要是「戰鬥<U+9DC4>」。  ","https://udn.com/news/story/10958/3096363"
"t_time66","2018-04-19 16:05","丁丁硬起來？丁守中明天玩滾輪秀肌肉"," 台北市長擬參選人、前立委丁守中給人溫和書生形象，打選戰也不慍不火，丁守中辦公室今天發戰貼，邀請民眾一起來ＰＫ滾輪，圖中丁守中穿運動背心，小秀肌肉，展現不同形象。 丁守中辦公室指出，其實明天會公布最新一波廣告，就是丁丁教大家「每天3分鐘，讓你消除鮪魚肚」。跳脫傳統政治廣告思維，從健身角度切入。 另外，今年64 歲的丁守中，還請來4名年輕朋友，與他一同PK。據丁守中幕僚說，丁守中有運動健身，但玩滾輪並不容易，丁若能玩，「有點嚇到我了!」台北市長擬參選人、前立委丁守中給人溫和書生形象，打選戰也不慍不火，丁守中辦公室今天發戰貼，邀請民眾一起來ＰＫ滾輪，圖中丁守中穿運動背心，小秀肌肉，展現不同形象。圖／丁守中提供分享  facebook   ","https://udn.com/news/story/10958/3095925"
"t_time67","2018-04-19 16:36","呂秀蓮：像徵召蘇貞昌這樣請我 定選第一"," 前副總統呂秀蓮日前表態爭取代表民進黨參選台北市長。 聯合報系資料照片／記者陳煜彬攝影分享  facebook   表態爭取代表民進黨參選台北市長的前副總統呂秀蓮今天表示，不以為然黨中央長期以來散布失敗主義，如果黨中央可以象徵召前行政院長蘇貞昌那樣來請她，她一定會選到第一名。 民主進步黨在年底的台北市長選舉是否要和柯文哲合作備受關注，姚文智18日在政論節目中表示，如果最後真的由他出線代表民進黨，對決中國國民黨的丁守中和柯文哲後得到第3名，「我永久退出政治。」 呂秀蓮今天舉行記者會說明她對松山機場存廢的立場，她表示非常不以為然中央黨部長期以來散布失敗主義，柯文哲4年前勝選的所有因素現在都不見，「他欺騙大家他是政治素人，他是嗎？他的票在哪裡？」 呂秀蓮說，姚文智這樣講，她當然可以給他肯定，「他當然不會選第三名，我也不會！我們要選就要選第一名，只要我跟姚文智商量好，團結一致，我們當然要得第一，誰再講第三名，你給我下台，你不配主導這次民進黨選舉。」 呂秀蓮稍後在記者會中表示，只要黨中央像徵召前行政院長蘇貞昌去選新北市這樣來請她，她保證可以選到第一名。","https://udn.com/news/story/10958/3095882"
"t_time68","2018-04-19 12:44","「幫」姚文智退出政治？ 柯P笑：發言人一再交代不評論","  已表態參選台北市長的立委姚文智昨上政論節目時，立下重誓，強調如果年底台北市長選舉，國民黨提名前立委丁守中，最後結果是姚文智變第三名，「我永久退出政治」，引發熱議。 對此，台北市長柯文哲今天出席雙北合作交流平台，會後受訪時被問到姚文智的「重誓」，則是大笑說「我們發言人和我說，千萬不要評論」。 至於是否會幫忙實現姚文智的「願望」？柯文哲笑說，他沒有這麼笨，去回答這一題，我們發言人一再交代不要回答這個題目，這也是一個答案。 對於姚文智周日將舉辦松機大遊行，號召「柯黑」站出來，柯文哲則說，政治上有各種主張，但用反對誰當市長的主張，蠻奇怪的，不過大家高興就好了。 對於最新民調指出，有40%的民眾認為柯應該要和民進黨合作，柯文哲說，民調公司這麼多，每天答案都不一樣，不要陷入父子騎驢的故事，他每天都在做自己的事情，每天在練八段錦(意旨自己練功)。台北市長柯文哲今天出席雙北合作交流平台，會後受訪時被問到姚文智的「重誓」，則是大笑說「我們發言人和我說，千萬不要評論」。圖／北市府提供分享  facebook   ","https://udn.com/news/story/10958/3095423"
"t_time69","2018-04-19 10:31","賭很大！參選若第3名 姚文智：我永久退出政治"," 年底台北市長選舉腳步逼近，民進黨是否要和現任台北市長柯文哲「分手」，至今仍是未知數，不過為了爭取黨內提名，立委姚文智近來動作頻頻，不僅周日將舉辦「松機大遊行」，號召「柯黑」一起站出來，昨上政論節目《鄭‧知道了》，更立下重誓，強調如果國民黨提名前立委丁守中，最後結果是姚文智變第三名，「我永久退出政治」。 姚文智昨晚上政論節目，主持人問到，如果民進黨最後由他代表出線參選，和國民黨代表丁守中及現任市長柯文哲對決，最後只得到第3名票數該怎麼辦？ 姚文智則是毫不猶豫的說「我選第3名，永久退出政治！」 對於姚文智當場發下重誓，讓主持人都驚呆了，連忙追問「永久退出政壇？」姚文智則是再度肯定的說「對！」，讓主持人忍不住說「你賭很大耶」。 姚文智解釋，民進黨在台北市過去基本盤接近40，就算只拿到40%以下也不會是第三名。 姚文智強調，「讓我姚文智代表民主進步黨參選台北市長，我如果選第3名，永永久久退出政治，也不要給我安排什麼職位」，參選決心相當強烈。立委姚文智昨上政論節目《鄭‧知道了》，更立下重誓，強調如果國民黨提名前立委丁守中，最後結果是姚文智變第三名，「我永久退出政治」。圖／報系資料照分享  facebook   ","https://udn.com/news/story/10958/3095039"
"t_time70","2018-04-19 10:10","赴中爭議 丁守中：民進黨傾全黨力挺吳茂昆","  教育部長吳茂昆上任前不斷被爆出曾赴中國大陸開講座，並擔任大陸官方研究機構顧問等多項爭議，台北市長擬參選人丁守中上午批評，無論內政部長葉俊榮或吳茂昆，民進黨對自己人、對顏色是綠的就大事化小，對台大校長管中閔卻嚴加管制，明顯雙重標準，「只有藍綠、沒有是非」。 丁守中上午接受飛碟電台專訪後，面對媒體採訪，對於吳茂昆爭議，丁守中認為民進黨為吳茂昆等人背書，認為沒有溢領費用、沒有兼職顧問，只是活動受邀演講等相關爭議已在第一時間清楚說明，可見民進黨傾全黨之力力挺。 丁守中說，吳茂昆與大陸軍方背景公司，在高溫超導方面有密切顧問關係，明明事實俱在，民進黨如此態度，實在是雙重標準。台北市長擬參選人丁守中。圖／報系資料照分享  facebook   ","https://udn.com/news/story/12012/3094987"
"t_time71","2018-04-19 10:01","能否母<U+9DC4>帶小<U+9DC4>？丁守中：每人都應該是「戰鬥<U+9DC4>」"," 國民黨台北市長初選進行中，「卡丁」聲不斷，認為擬參選人丁守中不夠強，代表國民黨選不會贏；丁守中上午接受飛碟電台主持人唐湘龍專訪，對於能否發揮台北市長參選人光環、母<U+9DC4>帶小<U+9DC4>、造成外溢效應，丁守中認為，選舉還是要靠自己，且國民黨現在沒有資源，市議員、市長等各地參選人，每人都要做「戰鬥<U+9DC4>」。 對於黨內「卡丁」聲，丁守中認為，等初選結束，這些就會告一段落，畢竟初選會有競爭，他承認自己不是明星，沒有光環，但他在立法院問政，沒有輸過誰，而且過去有人有名星光環，選上後對城市實質進展不大，像柯文哲是網紅，聲量最大，但城市評比黯淡。  主持人問，有人說丁守中不夠強，背後有特定力量在運作嗎？丁說， 台北這場杖很艱困，團結都不一定打贏，何況不團結，他相信選舉會有競爭，誰幫誰難免會放話，但比起民進黨還互告，已經好多了。  過去台北市長選舉是指標，候選人必須要有光環，要有外溢效果，除了自己勝選，還有讓選舉升溫，主持人問丁能否做到，丁守中說，過去期待選舉是母<U+9DC4>帶小雞，有光環、有明星，但真正選舉還是要靠自己，且國民黨現在沒有資源，市議員、市長等各地參選人，每人都要做「戰鬥<U+9DC4>」，只有靠團隊合作，否則國民黨非執政，在中央地方都沒有資源，每人都要是「戰鬥<U+9DC4>」。 另外，對於大陸高調軍演，兩岸關係緊張，主持人問丁若當選還會不會辦台北上海雙城論壇，丁守中說，今年雙城論壇當然要辦，不應延期，瞻前顧後，兩岸愈緊張，民間就要愈多交流，且不只台北上海辦雙城論壇，也應和北京、深圳、杭州辦雙城論壇，有助於壯大台商力量的城市，都要辦雙城論壇。同時也和國際城市交流，才能提升台北市的競爭力。  國民黨台北市長擬參選人丁守中。記者楊正海/攝影分享  facebook   ","https://udn.com/news/story/10958/3094966"
"t_time72","2018-04-15 10:00","年紀這筆帳！35歲網紅不耐煩LKK參選 電火球自豪老將是寶"," 前行政院長蘇貞昌以辦運動會的比喻，來為自己71歲回鍋參選被嫌老的問題解套。 記者陳珮琦／攝影分享  facebook     21年前剛好50歲的前行政院長蘇貞昌，在台北縣長選戰對上大他8歲的謝深山。當年他說，民眾選擇縣長像吃牛排，不能太老，也不要太嫩，有經驗、體能強健是最佳保證；如今71歲的他要參選新北市長，對上小他11歲的侯友宜，年紀也被拿來做文章。 1997年謝深山（左）58歲時參選台北縣長，對手蘇貞昌一度以「牛排」暗諷他老了。 圖／聯合報系資料照片分享  facebook     無獨有偶，年僅35歲的比特幣場外交易所OTCBTC負責人、網路圈名人「XDite」鄭伊廷，前晚在臉書直播宣布參選台北市長，直言對「老一輩的人出來選，已經很不耐煩了」，世界變化太快，對世界真正的競爭，上一輩缺乏深刻的了解，政壇「年齡這筆帳」又添一筆。 比特幣場外交易所OTCBTC負責人「XDite」鄭伊廷，前晚在臉書直播宣布參選台北市長。 圖／擷取自鄭伊廷臉書分享  facebook     當過2任台北縣長的蘇貞昌「回鍋」選新北市長，支持者大為振奮，反對者則是批評有失誠信，因為蘇曾說「我不會選第三次」，此外年齡也可能是他的「罩門」。 行政院前院長蘇貞昌（右）接受民進黨主席蔡英文（中）勸進角逐新北市長寶座，引發誠信爭議。 圖／聯合報系資料照片分享  facebook    原來蘇貞昌早年和謝深山競選台北縣長時，曾說自己讀台大時是橄欖球校隊，民眾選擇縣長人選，就像吃牛排一樣，不能太老，也不要太嫩，有經驗、體能強健是服務縣民的最佳保證，最後也如願入主縣府。     事隔21年前，蘇貞昌再披戰袍，當年嘲笑58歲的謝深山「太老」，誇自己是「多汁牛排」，外界暗諷不知當年的多汁牛排，今天風味如何？  面對質疑，蘇貞昌昨天再以運動會為例，要下場去跑、丟標槍、擲鐵餅年輕的好，但如果是要主辦一場運動會，則要有經驗、有各方面的能力，「相信新北市民非常有智慧，知道市長要幹什麼」。    年齡也成台北市長選舉話題，鄭伊廷前晚開直播說明參選台北市長的理念，點名現在檯面上的候選人都超過50歲，而她只有35歲。  鄭伊廷說，4年前柯文哲出來選的時候也想要幫他，但又覺得他的目光沒有她想像中的深。台北市是一個世界級城市，如何讓城市有競爭力，必須知道世界現在發生什麼，我們怎麼接軌。  治理台北市不是比較誰比較省錢，而是能不能帶領首都朝向新的世界，希望發揮專長，打造一個比特幣的金融圈，讓台北改頭換面。 台北市長柯文哲說，重點是心理、生理年齡，而非身分證上的。 圖／聯合報系資料照片分享  facebook      面對鄭伊廷叫陣，台北市長柯文哲昨天說，重點是心理、生理年齡，而非身分證上的，但坦言電子商務一定要做，至於怎麼做，的確是北市未來幾年要思考的題目。  台北市長柯文哲（中）昨天在和幼兒跳健康操會場，回應鄭伊廷提出的年齡觀點。 記者魏莨伊／攝影分享  facebook    柯文哲說，網路新創圈批他不夠有遠見，要看指哪一方面。台灣整個都市發展都缺乏長期計畫，這個他自己也有發現。    鄭伊廷宣布參選台北市長，主打年輕化，其他有意參選者也有回應。63歲的丁守中說，全世界傑出政治人物，老中青都有，年紀不是問題，問題在能力。 前副總統呂秀蓮（右二）昨到台中助選，她說，新北市不得已才請老將出馬，「老將是寶，有經驗是寶」。 記者喻文玟／攝影分享  facebook      前副總統呂秀蓮昨天說，新北市的狀況是年輕人、中生代跑了半天出了問題，不得已才請老將出馬，「老將是寶，有經驗是寶」。    政壇該由哪個世代當家，選民口味難料。像美國前總統歐巴馬2009年首度當選總統時，未滿50歲，還成功連任。接任的美國總統川普，去年選上時已年過70歲。  我國總統副總統選舉罷免法規定，年滿40歲得申請登記為總統、副總統候選人，反觀國外，去年選上法國總統的馬克宏才39歲，成為法國最年輕的總統。 陳水扁（左）1994年當選台北市長後，任命羅文嘉擔任新聞處長。 圖／聯合報系資料照片分享  facebook      翻開台灣政壇「年齡這筆帳」，早年講究論資排輩，年輕人想出頭談何容易，直到陳水扁因國民黨分裂選上台北市長，大舉起用年輕幕僚，才翻轉局面。當年馬永成、羅文嘉、林錦昌等人被戲稱「童子軍」，但他們憑能耐各擁一片天。    柯文哲以素人之姿競選台北市長，身邊就圍繞不少年輕人，選上後的市府團隊也啟用青年軍，最年輕的觀光傳播局長陳思宇只有32歲，發言人劉奕霆31歲，去年籌辦世界大學運動會的世大運發言人楊景棠，當時也僅27歲。 新竹市長林智堅當選時39歲，是全台最年輕的市長；圖為他行銷新竹摃丸創意料理。 圖／聯合報系資料照片分享  facebook      新竹市長林智堅當選時39歲，是全台最年輕的市長，他的幕僚團隊也相當年輕化，平均年齡約30歲。 新竹市長林智堅的辦公室主任劉康彥今年才29歲。 圖／聯合報系資料照片分享  facebook    新竹市長辦公室主任劉康彥今年才29歲，工作上常代表市長溝通市政，他說，因為年紀輕，經常會接觸大自己20歲以上官員或同仁，他把對方當為長輩，展現誠意，讓對方認同自己。當然，也要讓對方看見自己的努力，才能談下一步。 新竹市政府行政處長白舒樺說，只確立目標，細節給同仁發揮。 圖／白舒樺提供分享  facebook    市府行政處長白舒樺36歲，她說，資深同仁安排工作流程、處理公文相當專業，她主要是讓對方認同理念與政策，讓對方感受參與其中，並以「抓大放小」方式，只要確立目標，細節就給同仁發揮，尊重對方。    台中市新聞局長卓冠廷就任時只有28歲，當時是全國政務官第二年輕，僅次於謝長廷高雄市長任內的新聞處長林耀文。 台中市新聞局長卓冠廷（右）28歲上任，與市府內最資深的副市長林陵三，感情很「麻吉」。 圖／卓冠廷提供分享  facebook    卓冠廷在議會備詢時，曾因年輕，被議員稱為「小孩子」，他正色回應「我不是小孩子，我是政務官局長」。  卓冠廷說，剛到市府當首長，曾被質疑如何領導年紀大的部屬，或與其他局處協調，坦白說確要花更多力氣去證明自己。有幾次危機處理時，資深同事有自己的方法，但透過時間證明他的專長，現在資深同事多半不會再把他當成年輕人。    桃園市青年事務局長顏蔚慈今年32歲，是市府最年輕女局長。她說，投入公務體系挑戰不少，因為難免會有公務員「講話」，質疑她的工作能力與專業性，甚至會說「是不是市長派妳來，來修理大家的？」 顏蔚慈擔任青年局長之前，在經濟發展局擔任主任秘書，她認為自己雖然年紀較輕、經歷不多，但能注入新的思維與角度，「不僅要給同仁信任感，也要讓同事有成就感」，鼓勵想做事的年輕公務員致力創新，翻轉舊思維。 桃園市政府青年事務局長顏蔚慈，是桃市府最年輕女局長。 照片／桃市府提供分享  facebook     ","https://udn.com/news/story/10958/3087363"
