"","V1","V2","V3","Yao_JanFeblink$."
"t_time45","2018-01-20 16:02","國民黨台北市強棒 賴士葆點名葉匡時"," 立委賴士葆提案非消費行為刷卡全部免手續費。聯合報系資料照分享  facebook   國民黨籍立委蔣萬安昨天表態不選台北市長後，地方黨部接獲不少支持者詢問電話或表達失落，但國民黨籍立委賴士葆說，國民黨還有強棒，前交通部長葉匡時就是不錯人選。 目前中國國民黨內表態有意角逐台北市長者包括前立委丁守中、前行政院發言人鄭麗文。 地方人士受訪表示，昨天蔣萬安不選消息傳出後，地方黨部接到不少支持者電話詢問怎麼回事？昨晚跑行程時，也有民眾直接問「蔣萬安怎麼不出來啦？」黨部都回覆尊重個人意願。 台北市第8選舉區選出的國民黨籍立法委員賴士葆接受記者訪問表示，原本可能有些人在觀望蔣萬安態度再決定是否表態，蔣萬安宣布不選後，他相信一定還會有強棒表態。 被記者問到誰適合角逐台北市長？賴士葆表示，葉匡時就是不錯人選。 葉匡時接受記者訪問表示，「沒在思考這問題」，但國民黨考量台北市長選戰，應思考年輕化，排除傳統宮廷文化，更接觸年輕人，瞭解人民痛苦，否則勝選有什麼意義？ 曾任台北市議員的國民黨籍立委李彥秀受訪表示，蔣萬安這時宣布，讓黨可及早布局，且蔣萬安從沒說要選，是基層有很多期待，不斷有勸進聲浪，但這還是取決於個人決定，倒是國民黨接下來要思考如何布局，打好選戰，她相信初選後，藍軍還是會團結。 李彥秀分析，打法很重要，柯文哲擅長網路戰，能創造與年輕人的共鳴，未來的國民黨參選人有沒有這樣的團隊？如何讓市民覺得，接下來4年台北可以不一樣，有競爭力、值得驕傲。","https://udn.com/news/story/10958/2940693"
"t_time46","2018-01-20 12:09","兒童免費視力檢查有成效 丁守中：給郝龍斌按讚","  台北市實施小二學童連續3年免費視力檢查有成，且將再納入小五學童提供免費檢查的措施。台北市長參選人丁守中今天表示，回想起前市長郝龍斌推動這項有遠見的政策時，卻遭到很大阻力與批判，甚至遭質疑政策買票，浪費預算，實在讓人感慨，各界應該為郝龍斌按個讚。 丁守中強調，推動政策需要遠見與擔當，從先前接受檢查學童近視度數平均年增加24至26度，遠低於文獻指出近視學童每年增加100至125度預測的結果就可以證明，這項有遠見的政策有著專業醫學的評估，實際發揮了效果。比起柯市府很多花大錢、亮眼一兩天的活動影響深遠多了。 他也說，台北市長柯文哲不但與他的團隊為了台北燈節如何花預算大動干戈，同時柯P一上任，就把郝市府提供國小學童每週一瓶免費鮮乳的政策取消了，認為吃鈣片更有效，還要市府官員「用數據說服我」，但不知如今成效如何？他說，市府真應該好好研究一下。台北市兒童免費視力檢查見成效，丁守中認為該給前市長郝龍斌按個讚。記者楊正海/攝影分享  facebook   ","https://udn.com/news/story/10958/2940469"
"t_time47","2018-01-20 00:53","觀察站／北市長年底選戰3大變數 更加暗潮洶湧"," 台北市長柯文哲。 圖／聯合報系資料照片分享  facebook    國民黨立委蔣萬安宣布不參選台北市長，國民黨內頓時只剩丁守中、鄭麗文兩人相爭，選舉態勢「看似」逐漸明朗。但這個表徵之下，其實更加暗潮洶湧。 未來台北市選戰，至少有三個重大的變數要觀察。第一個變數，是柯文哲自己。世大運後，柯文哲原本下挫的氣勢重新回到頂點。但近一個月來，台北市府卻是禍起蕭牆，內訌越來越激烈。先有觀傳局前局長簡余晏與柯文哲的「絕交惡聲」，後有副市長陳景峻與市府間的互相傷害，而且迄今沒有止血跡象。 內訌凸顯出，市府在政策推動（台北燈節）、人事處理和危機管控上，都出現重大問題，這勢必對柯文哲的連任之路造成影響。一旦世大運前那個「只會說錯話和做秀」的柯市長形象又回來了，柯的支持度恐怕還會探底。 第二個變數是，國民黨在「夢幻人選」蔣萬安不出戰後，要怎麼面對提名問題。是繼續尋覓其他夢幻人選？抑或務實的從現有人選中找一個出來打選戰？平心而論，檯面上其實找不到必贏人選，而徵召可能造成黨內裂痕，國民黨敢於這麼做嗎？ 如果國民黨採取的是務實提名策略，是否能吸引選民回流也是大問題。更重要的是，國民黨內是否能全心支持這個人選？ 最後一個變數，也是與前兩個變數相互影響的是民進黨態度。對於是否再次禮讓柯文哲，民進黨始終不願掀底牌，顯然觀望成分居多。如果柯文哲支持度持續探底，而國民黨的候選人又被民進黨認定是軟柿子，勢必大幅增加民進黨自行提名的機率。如此一來，兩強相爭就可能變成三強鼎立，甚至最後發生棄保效應。 在柯和綠營合作與否未明，柯團隊不斷自爆，國民黨所謂夢幻人選又落空下，這場選戰絕非大勢底定，而是才剛開始。 ","https://udn.com/news/story/10958/2940013"
"t_time48","2018-01-20 00:53","肯定蔣萬安 丁守中：藍營團結就從台北開始"," 在立委蔣萬安宣布不參加台北市長選舉後，參選人丁守中舉行記者會，表示對於蔣委員展現藍營的團結感到感佩。 記者曾吉松／攝影分享  facebook    國民黨立委蔣萬安宣布不參選台北市長，台北市長柯文哲淡定回應「不以物喜，不以己悲」；已宣布參選市長的前立委丁守中表示，高度肯定蔣選擇守住國會戰場奮鬥。 對自己將競選連任，柯文哲說，「你想想看四年前我在哪裡，不要想那麼多，每天認真做就好。他的心態都是認真、快樂過每一天。」 丁守中說，國會是重要的戰場，面對民進黨執政的鴨霸，以國會絕對多數通過各種傷害人民、傷害憲政的法案，蔣萬安選擇守住國會奮戰，替人民福祉把關，是一種承擔。 丁守中說，台北市長選舉是場艱困的選戰，他不會樂觀也不悲觀，現在要團結所有力量，他會擇期拜訪蔣萬安，「藍營的團結就從台北開始」。 國民黨台北市黨部主委黃呂錦茹說，蔣萬安宣布不選前，有先打電話給她，蔣說聽到外面有聲音質疑他為何不表態，為讓外界早一點知道才宣布。 蔣萬安還說，希望能留在立法院，但議員或市長選舉有需要，他將全力幫忙。 黃呂錦茹說，目前確定宣布參選台北市長黨內初選的有丁守中、鄭麗文，表態有意願參選的除台大教授李錫錕，還有北市前副市長邱文祥。 ","https://udn.com/news/story/10958/2940012"
"t_time49","2018-01-20 00:53","蔣萬安不選北市長 國民黨春節後啟動初選"," 國民黨立委蔣萬安昨天在立法院宣布不會參加二○一八的台北市長選舉，將繼續留在立法院監督政府。 記者余承翰／攝影分享  facebook    年底地方選舉，原被看好代表國民黨參選台北市長，挑戰現任市長柯文哲的國民黨立委蔣萬安，昨天宣布不會角逐台北市長，為選情投下變數。國民黨中央回應，尊重個人參選意願，會按初選機制提出最具勝算人選。 蔣萬安昨早在出席黨團幹部會議前，突然向媒體宣布將續留在立法院，不會參加年底選舉。蔣萬安強調，外界關心他是否參選台北市長，但他沒說過他要選，未來要繼續扮演強力抗衡行政權的角色，在勞工、食安、空汙等議題上努力。 媒體問，是否曾考慮參選台北市長？蔣表示，自己一直沒說要選，且這會期審查「勞動基準法」讓他有所體悟，他擔任召委和修法小組召集人，主導整個修法討論，雖然執政黨仍強行三讀，但外界因此更關注修法，也讓各界更了解勞工的處境，同時造成執政黨與行政部門的壓力，他會繼續發揮在野強力抗衡的監督力量。 未來是否可能受徵召？蔣萬安說，不會有後續這些問題，國民黨主席吳敦義也清楚他的態度。至於他是否改支持前立委丁守中或行政院前發言人鄭麗文？蔣僅說「通過初選的他都支持」。 黨內人士表示，蔣萬安有向吳敦義報告，吳有勸他要不要再思考一下、晚一點再決定，不過蔣萬安很明白表態不選，吳敦義也尊重他的意見。 國民黨組發會主委李哲華則說，蔣萬安從未正式宣布要選，只是有人鼓勵他角逐，既然蔣已思考過、決定不選，只能接受；台北市已決定全民調決定候選人，農曆年後會啟動初選機制。 ","https://udn.com/news/story/10958/2940011"
"t_time50","2018-01-19 21:55","蔣萬安不選台北市長 孫大千：黨應擺脫尋找救世主想法"," 國民黨青壯派立委蔣萬安確定不參選年底台北市長，國民黨前立委孫大千表示，「選戰如棋」，黨候選人只要能展現高度，讓人民感動，未到最後，勝負難料。圖擷自孫大千臉書分享  facebook    國民黨青壯派立委蔣萬安確定不參選年底台北市長，讓不少藍營支持者今天頻繁打電話至黨部表達對年底選情擔憂。國民黨前立委孫大千表示，「選戰如棋」，黨候選人只要能展現高度，讓人民感動，未到最後，勝負難料，誰說國民黨在台北市不會贏？ 孫大千表示，數位時代來臨，因網際網路快速發展，進入政治門檻大幅降低，以往依賴組織傳遞訊息與理念的選舉模式已被全面翻轉，當前的政黨應從整合派系、分配資源角色，升級成政治人才培育機構，協助老將轉型、挖掘新秀登場。 孫大千說，國民黨過去正因為無法理解新時代的變化，長期疏於培養人才，才會總是將選舉成敗依靠著特定人選來扮演「救世主」，每逢選舉點將便捉襟見肘，最後要不向派系妥協，低頭借將，要不就臨時充數，倉促應戰。 孫大千認為，蔣萬安在經過長考和評估之後所做出的決定，必然有他更長遠的規劃和安排，相信他不怯戰，也不畏戰。而國民黨此次沒有派出蔣，不代表老將不會脫胎換骨，一新耳目；新人不會初試啼聲，一鳴驚人。 孫大千表示，國民黨在台北市若想擊敗對手，靠的是高度與態度：若能展現令人信任的高度，提出讓人感動的態度，不管候選人是蔣萬安、丁守中或鄭麗文，都能贏得民眾支持和認同。否則台北市長柯文哲自然就繼續老神在在，「不以物喜，不以己悲」。 ","https://udn.com/news/story/10958/2939850"
"t_time51","2018-01-19 21:45","蔣萬安不參選 孫大千：誰說國民黨在北市不會贏？"," 國民黨立委蔣萬安上午在立法院宣布，不會參加2018的台北市長選舉，他將繼續留在立法院監督執政黨。記者余承翰／攝影分享  facebook    立委蔣萬安宣布不參加台北市長選舉，前國民黨立委孫大千在臉書貼文表示，誰說國民黨在台北市不會贏的？國民黨在台北市若想擊敗對手，靠的是一個高度，和一種態度。如果能夠展現令人信任的高度，和提出讓人感動的態度，不管候選人是蔣萬安，丁守中，鄭麗文，或是其他人選，都能夠重新贏得民眾的支持和認同。否則，柯文哲市長自然就繼續「不以物喜，不以己悲」，老神在在，信心滿滿了。 孫大千指出，這是一個全新的數位時代，由於網際網路的快速發展，進入政治的門檻亦大幅降低，以往依賴組織和資源才能傳遞訊息和理念的選舉模式也被全面翻轉，態度和高度將成為決勝的關鍵因素。 他認為，因應數位時代的來臨，政黨的角色和功能也應該要同步調整。政黨應該從整合派系，分配資源的定位，升級成為政治人才的培育機構，如何協助老將轉型？如何挖掘新秀登場？將成為未來的政黨的重要使命。 國民黨過去正因為無法理解這一點，長期疏於培養人才，才會總是將選舉的成敗依靠著特定的人選，來扮演「救世主」的功能。每逢選舉點將時刻，便捉襟見肘，最後要不向派系妥協，低頭借將，要不就臨時充數，倉促應戰。 他貼文指出，蔣萬安在經過長考和評估之後所做出的決定，必然有他更長遠的規劃和安排。「我相信，他不卻戰，也不畏戰。國民黨此次沒有派出蔣萬安，也不代表我們的老將不會脫胎換骨，一新耳目，更不代表我們的新人不會初試啼聲，一鳴驚人。」選戰如棋，未到最後，勝負難料！   ","https://udn.com/news/story/10958/2939830"
"t_time52","2018-01-19 16:58","影／蔣萬安不選 柯P：不以物喜 不以己悲","   被視為最有機會力抗台北市長柯文哲的國民黨立委蔣萬安，上午突然宣布不參選台北市長。台北市長柯文哲出席茶花展開幕活動，心情顯得很不錯。被問到是否鬆一口氣時，柯文哲表示，「不以物喜，不以己悲」。自己還是每天一樣把工作做好，如果可以的話，就試著快樂的過每一天。表態參選的國民黨前立委丁守中則肯定蔣萬安選擇守住國會戰場是承擔，呼籲藍營的團結就從台北開始。 台北市長柯文哲上午出席台北茶花展開幕典禮，臉上掛著笑容。記者林洧旭／攝影分享  facebook   ","https://udn.com/news/story/10958/2939366"
"t_time53","2018-01-19 16:58","蔣萬安不選台北市長 鄭麗文：意料中事"," 國民黨立委蔣萬安上午在立法院宣布不會參加2018的台北市長選舉。記者余承翰／攝影分享  facebook    國民黨立委蔣萬安宣布不參加國民黨台北市長初選，已表態參選台北市長的前行政院發言人鄭麗文表示，蔣萬安的決定對他而言是在意料中的事，臺北市長選舉，是一個非常重大，非常複雜且非常困難的選舉。 所以短時間之內，蔣很難做出這樣一個重大的轉折，這是可以充分理解的。 鄭麗文也讚蔣萬安過去這段時間裡，雖然是新進立委，但在立法院裡面，尤其是面對勞基法修惡過程的表現，可看出來他真的非常有潛力。 不論是黨內的資深前輩丁守中，或是蔣萬安都是非常優秀的人才，這證明國民黨並不是沒有人才。 但國民黨要學會把對的人放在對的戰場上面，才能發揮最大的戰力。 鄭麗文說，她真的不願意看到許多國民黨內的人才，因為不對的時間、不對的地點、不對的戰場，而被無謂的消耗掉。 所以在這個選舉的過程當中，她下了非常大的決心，因為她知道這對國民黨來說是背水一戰，非贏不可。 對台北市來講，它也是正站在一個城市生存發展重要的拐點上面，否則台北市可能會一直向下沉淪，無法翻轉。 鄭麗文也說，今天看到蔣萬安的表白，證明她長期以來對國民黨的信心是沒有錯的；國民黨中央並沒有像大家想的那樣充滿陰謀論，然後還要用過去那種「黃袍加身」、「徵召」方式來進行選舉；就算要這樣做，在這個時代也做不到了。 國民黨內不會有人笨到這樣的去逆勢操作，把最後一絲國民黨支持者對於國民黨的期待，通通辜負掉。 她認為，黨中央只是想公平開放辦好這次的初選，因為既然有丁守中，有鄭麗文，並不是沒有人要選，所以她要呼籲大家，給國民黨一點空間，不要老是覺得這中間一定有什麼內幕、有什麼暗盤、有什麼操作，這些謠言不但對蔣萬安不公平，對國民黨的形象及其他參選人都是一種負面傷害。 鄭麗文強調，相信這一次初選，以丁守中的素養跟涵養，絕對可進行一場民主的君子之爭，在選舉的過程當中，不要因為一些無謂的流言、揣測、猜疑，而讓黨內出現任何的裂痕，因為國民黨只有團結，才有辦法打贏年底的選戰，這也是為什麼在初選過程當中，她始終不願意找人來要大家表態，營造黨內有任何勢力是支持她的。 ","https://udn.com/news/story/10958/2939362"
"t_time54","2018-01-19 14:54","表態不選北市長 羅智強：蔣萬安仍是國民黨關鍵力量"," 國民黨青壯派立委蔣萬安確定不參選年底台北市長，曾表態有意參選北市長的總統府前副秘書長羅智強表示，以蔣最近堆起的「旋風魅力」，即便不角逐2018年台北市長，未來仍將是國民黨光復台北的關鍵力量。 羅智強也認為，蔣萬安不選台北市長後，只是讓國民黨內局勢稍定，但真正的苦戰現在才開始，現任台北市長柯文哲是個「政績不佳但魅力破表」的表演型政治人物，國民黨要光復台北市，還有一場硬仗要打。 羅智強說，已表態參選台北市長的前立委丁守中，從現在開始，必須讓台北市民強烈感受到他和柯文哲間「人格對照」，讓穩做實做政治特質受民眾覺知與認同，才可能<U+6483>敗網路人氣居高不墜的柯文哲。國民黨立委蔣萬安上午在立法院宣布，不會參加2018的台北市長選舉，他將繼續留在立法院監督執政黨。記者余承翰／攝影分享  facebook   ","https://udn.com/news/story/10958/2939073"
"t_time55","2018-01-19 13:16","誰想選台北市長？黃呂錦茹：最早的是邱文祥"," 台北市黨部主委黃呂錦茹。圖／聯合報系資料照片分享  facebook   2018縣市長大選，被看好代表國民黨出戰台北市長的立委蔣萬安今宣布定不參選台北市長；對此，台北市黨部主委黃呂錦茹表示，蔣萬安上午致電表示，他聽到一些聲音質疑他為何不表態，為了讓外界早一點知道，決定今天宣布，他也強調，「自己本來就沒說要選」。 黃呂錦茹指出，蔣萬安在電話中說他原本預計在月底立法院會期結束時，再宣布他無意參選台北市長，但愈來愈人認為他不願表態，才決定提前說明。蔣萬安也向她說，立法院現在戰力比較弱，他希望能留在立法院，但只要議員或市長候選人有需要他，一定全力幫忙。 對於台北市長參選人，黃呂錦茹說，目前確定宣布參選的有丁守中、鄭麗文，表態有意願選，除了台大教授李錫錕，另外還有台北市前副市長邱文祥。黃呂錦茹說，其實最早有意願參選2018台北市長的是邱文祥，她尚未當台北市黨部主委時，邱文祥見柯文哲市政無建樹，就想參選。 黃呂錦茹說，她當主委後，與邱文祥見過面，邱仍有意願，但未明確表態，仍在鴨子划水階段。至於李錫錕，會再正式拜訪他。","https://udn.com/news/story/10958/2938914"
"t_time56","2018-01-19 14:48","蔣萬安不選北市／丁守中：肯定他留在國會戰場"," 立委蔣萬安宣布不投入台北市長選戰，前立委丁守中上午表示，蔣萬安選擇在立法院的戰場，應給予高度肯定。 丁守中說，他覺得國會是重要的戰場，面對民進黨執政的不公不義，以國會絕對多數通過各種傷害人民、傷害憲政的法案，蔣萬安選擇留在國會奮戰，是一種承擔。 丁守中說，他選擇競選台北市長，就是要推倒無能又鴨霸的首都市長，為台北人贏回台北的驕傲。一定要團結所有對當前台北市政不滿的力量，贏得這場選戰。 ","https://udn.com/news/story/10958/2938898"
"t_time57","2018-01-19 14:49","蔣萬安不選北市／姚文智悵然若失「他參選比較有趣」"," 國民黨立委蔣萬安今天宣布不選台北市長，已表態參選的民進黨立委姚文智今天表示，對於蔣萬安的決定，他「滿失望的」，因為蔣萬安如果參選，就會是個「比較有趣的選舉」，但對於蔣萬安的決定是負責、俐落的表現。 姚文智說，市長選舉最終還是要回到市政發展的方向、願景，要去檢驗候選人有沒有準備好，他說，選出柯文哲，但柯3年下來沒有準備好，市政一敗塗地。 姚文智說，蔣萬安的決定讓他悵然若失，他無法評估蔣萬安不選的影響，但他的立場就是直球對決，要全力爭取民進黨提名，用他對台北市的願景爭取市民支持，也希望讓選舉回到市民的檢驗；過去選舉，對市政的討論比較少，若國民黨派前立委丁守中參選，這樣很好，丁也準備了20年，大家可以較勁。 傳出柯文哲想邀謝長廷當競選總幹事，身為謝系立委，姚文智說，他第一次聽到這說法，外界想像力太豐富，「那我找歐巴馬當我總幹事好了」；他和謝長廷常聯絡、交換意見，柯文哲不要隨便亂吃別人豆腐。 ","https://udn.com/news/story/10958/2938895"
"t_time58","2018-01-19 14:50","「從沒說過要選」 蔣萬安不選台北市長 續留立院"," 國民黨立委蔣萬安上午在立法院宣布不會參加2018的台北市長選舉，將繼續留在立法院監督政府。 記者余承翰／攝影分享  facebook     國民黨內備受期待的台北市長人選、青壯派立委蔣萬安今天宣布不參加2018選舉，將續留立法院扮演強力抗衡監督力量角色。「我從來沒說過要參選」，蔣表示，國民黨主席吳敦義知道這個決定，也很清楚他的態度，而未來任何能通過黨內初選被提名的人，他都會支持，並協助輔選。  國民黨尋求重返執政，年底台北市長選戰能否收復首都，被視為指標戰役。有意角逐者除已表態的前立委丁守中、政院前發言人鄭麗文外，蔣萬安也備受期待。蔣今天拋出震撼彈後，國民黨中央表示，初選仍會在3月舉辦。黨務人士透露，黨內最近有關台北市長可能人選民調，丁守中與蔣萬安互有領先，鄭麗文待進一步突破，蔣確定不參選，台北市長提名態勢已趨明朗。 國民黨台北市黨部主委黃呂錦茹透露，今早接到蔣萬安電話表示，這些日子以來，對於他是否參選台北市長，外界有很多揣測，甚至有人質疑他遲不表態是在等黃袍加身、等徵召，造成大家困擾，他決定不參選台北市長。  不過，面對媒體詢問「是否因為蔣家包袱決定不參選？是否擔心被貼上怯戰標籤？是否不排除參選下下屆台北市長？」蔣萬安今天均笑而未答。 蔣萬安表示，外界一直關注他是否要參選台北市長，也對這件事情有很多揣測，但他一直以來都沒說過要參選，堅守在立院是很多民眾對他的支持與期待。蔣萬安也表示，既然從來沒有說要參選，未來也不會有被徵召參選、或被迫投入初選的問題。  蔣萬安表示，他會繼續扮演強力抗衡執政黨的監督力量，接下來還有空汙、食安、能源與攸關產業轉型的重要法案，以及持續很多勞工朋友相關的權益，他會繼續留在立院關注大家關心的重大議案，並更加倍努力。 ","https://udn.com/news/story/10958/2938890"
"t_time59","2018-01-19 12:23","蔣萬安不選北市 國民黨：初選提最佳人選"," 國民黨立委蔣萬安。聯合報系資料照分享  facebook   被視為「潛力股」的中國國民黨籍立委蔣萬安今天宣布不參加年底台北市長選舉，國民黨中央表示，尊重個人參選意願，台北市選舉預計春節後啟動，會按初選機制提出最有勝算人選。 蔣萬安今天說，不參加今年底台北市長選舉，續留立法院。國民黨主席吳敦義很清楚他的態度，知道他不選，未來他會全力支持透過黨內初選機制產生的參選人。 國民黨內人士指出，蔣萬安有向吳敦義報告，席間吳敦義有勸蔣萬安要不要再思考一下，晚一點再決定，不過蔣萬安很明白表態不選，吳敦義也尊重他的意見。 國民黨內目前已宣布參選台北市長的有前國民黨籍立委丁守中、前行政院發言人鄭麗文。前總統府副秘書長羅智強原宣布3階段投入選戰，日前已表態加入丁守中團隊。 國民黨文化傳播委員會主委李明賢受訪指出，尊重個人參選意願，黨中央仍會按照初選機制，提出最有勝算的人選。 國民黨組織發展委員會主委李哲華表示，台北市選舉方面，中央提名小組預計農曆年後啟動全民調，任何合格黨員都可以登記參選。北市提名作業在年後展開，一方面也在看民主進步黨與現任台北市長柯文哲的競合關係，假如民進黨推出人選，國民黨勝選機率更高。 國民黨人士分析，蔣萬安是年輕新科立委、具爆發力，被視為「潛力股」，地方一直有不少勸進聲音，認為有和柯文哲一搏的機會，但也有人認為蔣萬安才剛選上立委，應該多歷練，這就要看個人的評估與意願了。 黨內人士認為，蔣萬安明確表態後，黨中央沒有勸進的可能，個人沒有意願，不可能硬叫他選。","https://udn.com/news/story/10958/2938711"
"t_time60","2018-01-19 11:54","蔣萬安不選 丁守中：肯定蔣萬安留在國會戰場","   立委蔣萬安宣布不投入台北市長選戰，宣布參選的前立委丁守中上午表示，蔣萬安選擇在立法院的戰場，應給予高度肯定。 丁守中說，他覺得國會是重要的戰場，面對民進黨執政的不公不義，以國會絕對多數通過各種傷害人民、傷害憲政的法案，蔣萬安選擇留在國會奮戰，是一種承擔。 丁守中說，他選擇競選台北市長，就是要推倒無能又鴨霸的首都市長，為台北人贏回台北的驕傲。一定要團結所有對當前台北市政不滿的力量，贏得這場選戰。蔣萬安宣布不選，丁守中表示肯定蔣萬安留在國會戰場。記者楊正海／攝影分享  facebook   ","https://udn.com/news/story/10958/2938678"
"t_time61","2018-01-19 11:44","丁守中感佩蔣萬安展現團結不選北市長"," 在立委蔣萬安宣布不參加台北市長選舉後，已宣布參選台北市長的國民黨籍前立委丁守中上午舉行記者會，表示對於蔣委員展現藍營的團結感到感佩。丁守中上午舉行記者會，表示對於蔣委員展現藍營的團結感到感佩。記者曾吉松／攝影分享  facebook   丁守中上午舉行記者會，表示對於蔣委員展現藍營的團結感到感佩。記者曾吉松／攝影分享  facebook   丁守中上午舉行記者會，表示對於蔣委員展現藍營的團結感到感佩。記者曾吉松／攝影分享  facebook   丁守中上午舉行記者會，表示對於蔣委員展現藍營的團結感到感佩。記者曾吉松／攝影分享  facebook   丁守中上午舉行記者會，表示對於蔣委員展現藍營的團結感到感佩。記者曾吉松／攝影分享  facebook   丁守中上午舉行記者會，表示對於蔣委員展現藍營的團結感到感佩。記者曾吉松／攝影分享  facebook   ","https://udn.com/news/story/10958/2938637"
"t_time62","2018-01-19 10:53","蔣萬安不選北市長 網友稱讚：有小蔣的智慧","  國民黨立委蔣萬安今天宣布不選台北市長。他並發聲明指出，臨時會一直到昨天稅法三讀通過後，讓他有很深的體悟，應該要繼續要留在立法院，抗衡、監督蠻橫的行政權。消息一出，不少網友叫好，有網友盛讚他「智者，有小蔣（指故總統蔣經國）的智慧哦，格局放大了」、「繼柯P之後，希望再顯經國政風」。 蔣萬安今天上午明確表態不選台北市長，網友在《聯合新聞網》臉書留言，稱讚他顧全大局，國民黨要團結集中火力，建議他加入丁守中陣營，「就算做個樣子都要做」，還有網友稱讚「有什麼樣的爺爺，就有什麼樣的虎孫」。 但也有網友表示，「可惜了，不然人帥贏一半」、「還是學不乖，老國民黨包袱太太，不讓年輕人出線，台北必敗」、「那國民黨又要失去台北市了，青年不出頭，永遠是老面孔」、「你的決定辜負了大家的期望，北市沒指望了」。國民黨立委蔣萬安上午在立法院宣布，不會參加2018的台北市長選舉，他將繼續留在立法院監督執政黨。記者余承翰／攝影分享  facebook   ","https://udn.com/news/story/10958/2938510"
"t_time63","2018-01-19 10:36","蔣萬安不選台北市長 姚文智：我悵然若失"," 民進黨立委姚文智(左)。記者徐偉真／攝影分享  facebook   國民黨立委蔣萬安今天宣布不會參選台北市長，已表態參選的民進黨立委姚文智今天表示，對於蔣萬安的決定，他「滿失望的」，因為蔣萬安如果參選，就會是個「比較有趣的選舉」，但他也說蔣萬安的決定是負責、俐落的表現。 姚文智說，市長選舉最終還是要回到市政發展的方向、願景，要去檢驗候選人有沒有準備好，說完也攻擊台北市長柯文哲，說選出柯文哲，但他3年下來沒有準備好，市政一敗塗地，所以他呼籲市民要選準備好的人，在市政上能支持市民支持，能做好城市治理，對市政發展方向有願景、目標，這才是市長選舉真正的主題。 姚文智說，蔣萬安的決定讓他悵然若失，而他無法評估蔣萬安說不選對選情的影響，但他的立場就是直球對決，要全力爭取民進黨提名，用他對台北市的願景爭取市民支持，也希望讓選舉回到是市民的檢驗，因為過去選舉，對市政的討論比較少，若國民黨之後派出前立委丁守中參選，姚文智說這樣很好，因為他也準備了20年，大家可以彼此較勁。 傳出柯文哲想邀謝長廷當競選總幹事，身為謝系立委，姚文智說，他第一次聽到這說法，直呼外界想像力太豐富，「那我找歐巴馬當我總幹事好了」，他說他和謝長廷常聯絡、交換意見，要柯文哲不要隨便亂吃別人豆腐，「選舉酸言酸語就算了，隨便吃豆腐不好」。","https://udn.com/news/story/10958/2938482"
"t_time64","2018-01-19 09:40","影／蔣萬安宣布不參選台北市長「我沒說過我要選」","  被看好參選台北市長的國民黨立委蔣萬安今天宣布，他不選台北市長。蔣萬安說，國民黨主席吳敦義清楚他的態度，「我沒說過我要選，我要繼續留立法院。我不參加2018選舉。」 至於是否支持國民黨前立委丁守中參選台北市長？蔣萬安說，「通過初選的都支持。」     國民黨立委蔣萬安上午在立法院宣布，不會參加2018的台北市長選舉，他將繼續留在立法院監督執政黨。記者余承翰／攝影分享  facebook   國民黨立委蔣萬安上午在立法院宣布，不會參加2018的台北市長選舉，他將繼續留在立法院監督執政黨。記者余承翰／攝影分享  facebook     ","https://udn.com/news/story/10958/2938418"
"t_time65","2018-01-18 19:55","丁守中參加內科尾牙 批柯P交通規畫短視近利","  台北市長參選人丁守中今應邀參加內湖科技園區發展協會尾牙，針對內湖交通持續惡化，批評台北市長柯文哲上任時宣示9個月內解決內湖交通問題，根本完全跳票。且柯說唯有發展捷運才能舒緩內科交通，卻又在該爭取前瞻計畫時信誓旦旦地說台北不需要軌道建設，政策規劃根本近利短視。 丁守中致詞說，他對遲到感到抱歉，「因為我剛剛塞在內科的路上」。丁守中質疑，他去年底就在臉書指出解決內湖交通問題的辦法就是建立軌道交通，特別是建立北環線與台北復興南北路以東的南北線，結果柯P馬上下令會勘，提出解決的辦法跟他一模一樣，真不知柯過去三年都在幹什麼？ 丁守中說，他高度肯定內科的競爭力，強調內湖科學園區在歷屆市府、民間企業及內科發展協會共同努力下，欣欣向榮。空置率僅1.84％，每坪成交租金1269元，等於「想租都租不到」，值得各界學習。 但丁守中也質疑，台北出了內科與信義區外處處蕭條，歸根於柯P招商引資能力低落，甚至根據經濟部2015年資料，北市府招商成績在六都墊底，根本不及格。丁守中批柯P的交通規畫，短視近利。圖／報系資料照分享  facebook   ","https://udn.com/news/story/10958/2937642"
